id,name_vi
usda_746778,Sữa giảm béo 2% (bổ sung vitamin A D)
usda_746779,Xúc xích bò ăn sáng (đã nấu sẵn)
usda_746780,Xúc xích heo kiểu Ý vị nhẹ chiên chảo
usda_746781,Xúc xích chorizo heo chiên chảo
usda_746782,Sữa nguyên kem 3.25% (bổ sung vitamin D)
usda_746783,Xúc xích gà tây ăn sáng tươi (vị nhẹ)
usda_746784,Đường cát trắng
usda_746785,Gà tây xay (93% nạc) áp chảo vụn
usda_746952,Giăm bông lát - nhà hàng
usda_747429,Phô mai Mỹ - nhà hàng
usda_747430,Đậu đỏ vừa khô
usda_747431,Đậu đỏ khô
usda_747432,Đậu Flor de Mayo khô
usda_747433,Đậu nâu khô
usda_747434,Đậu vàng nhạt khô
usda_747435,Đậu vàng nhạt (nhạt hơn) khô
usda_747436,Đậu Carioca khô
usda_747437,Đậu vân (cranberry) khô
usda_747438,Đậu tây đỏ nhạt khô
usda_747439,Đậu hồng khô
usda_747440,Đậu tây đỏ đậm khô
usda_747441,Đậu trắng navy khô
usda_747442,Đậu trắng nhỏ khô
usda_747443,Đậu đỏ nhỏ khô
usda_747444,Đậu đen khô
usda_747445,Đậu pinto khô
usda_747446,Đậu trắng Great Northern khô
usda_747447,Bông cải xanh tươi
usda_747693,Tương cà - nhà hàng
usda_747997,Lòng trắng trứng gà loại A (cỡ lớn)
usda_748236,Lòng đỏ trứng gà loại A (cỡ lớn)
usda_748278,Dầu hạt cải (canola)
usda_748323,Dầu bắp
usda_748366,Dầu đậu nành
usda_748608,Dầu ô liu nguyên chất
usda_748967,Trứng gà nguyên quả (loại A)
usda_749420,Thịt heo xông khói (bacon) chín - nhà hàng
usda_789828,Bơ thỏi không muối
usda_789890,Bột mì đa dụng tẩy trắng (bổ sung vi chất)
usda_789951,Bột mì đa dụng không tẩy trắng (bổ sung vi chất)
usda_790018,Bột mì đa dụng không tẩy trắng (chưa bổ sung vi chất)
usda_790085,Bột mì nguyên cám (chưa bổ sung vi chất)
usda_790146,Bột làm bánh mì trắng (bổ sung vi chất)
usda_790214,Bột gạo trắng
usda_790276,Bột bắp vàng mịn (bổ sung vi chất)
usda_790508,Bơ thỏi có muối
usda_790577,Hành tây đỏ tươi
usda_790646,Hành tây vàng tươi
usda_1104647,Tỏi tươi
usda_1104705,Bột đậu nành tách béo
usda_1104766,Bột đậu nành nguyên béo
usda_1104812,Bột gạo lứt
usda_1104867,Bột gạo nếp
usda_1104913,Bột làm bánh ngọt (chưa bổ sung vi chất)
usda_1104962,Hành tây trắng tươi
usda_1105073,Chuối chín kỹ
usda_1105314,Chuối chín vừa
usda_1750339,Táo Red Delicious (còn vỏ) tươi
usda_1750340,Táo Fuji (còn vỏ) tươi
usda_1750341,Táo Gala (còn vỏ) tươi
usda_1750342,Táo xanh Granny Smith (còn vỏ) tươi
usda_1750343,Táo Honeycrisp (còn vỏ) tươi
usda_1750348,Dầu phộng
usda_1750349,Dầu hướng dương
usda_1750350,Dầu rum (safflower)
usda_1750351,Dầu ô liu nhẹ (extra light)
usda_1999626,Nấm bờm sư tử
usda_1999627,Nấm bào ngư
usda_1999628,Nấm hương (shiitake)
usda_1999629,Nấm nút trắng (button)
usda_1999630,Sữa đậu nành không đường (đóng hộp để được lâu)
usda_1999631,Sữa hạnh nhân không đường (đóng hộp để được lâu)
usda_1999632,Rau bina non (baby spinach)
usda_1999633,Rau bina trưởng thành
usda_1999634,Cà chua roma
usda_2003586,Bột mì loại 00
usda_2003587,Bột lúa mì spelt nguyên cám
usda_2003588,Bột semolina thô
usda_2003589,Bột semolina mịn
usda_2003590,Nước ép táo (bổ sung vitamin C từ cô đặc)
usda_2003591,Nước cam không tép (từ cô đặc để lạnh)
usda_2003592,Nước ép nho tím (bổ sung vitamin C từ cô đặc)
usda_2003593,Nước ép nho trắng (bổ sung vitamin C từ cô đặc)
usda_2003594,Nước ép nam việt quất (từ cô đặc)
usda_2003595,Nước ép bưởi đỏ (nguyên chất để lạnh)
usda_2003596,Nước ép cà chua (có phụ gia từ cô đặc)
usda_2003597,Nước cam không tép (nguyên chất để lạnh)
usda_2003598,Nấm portabella
usda_2003599,Nấm bào ngư vua (king oyster)
usda_2003600,Nấm kim châm
usda_2003601,Nấm crimini
usda_2003602,Nấm maitake (nấm vũ nữ)
usda_2003603,Nấm beech (nấm sò nâu)
usda_2003604,Nấm pioppini
usda_2257044,Sữa đậu nành có đường (để lạnh)
usda_2257045,Sữa hạnh nhân không đường (để lạnh)
usda_2257046,Sữa yến mạch không đường (để lạnh)
usda_2258586,Cà rốt trưởng thành tươi
usda_2258587,Cà rốt baby tươi
usda_2258588,Ớt chuông xanh tươi
usda_2258589,Ớt chuông vàng tươi
usda_2258590,Ớt chuông đỏ tươi
usda_2258591,Ớt chuông cam tươi
usda_2259792,Sữa bơ (buttermilk) ít béo
usda_2259793,Sữa chua nguyên kem không đường
usda_2259794,Sữa chua Hy Lạp nguyên kem không đường
usda_2259795,Phô mai Parmesan bào (để lạnh)
usda_2259796,Phô mai Feta vụn (nguyên kem)
usda_2261420,Bột hạnh nhân
usda_2261421,Bột yến mạch nguyên cám
usda_2261422,Bột khoai tây
usda_2262072,Bơ đậu phộng mịn
usda_2262073,Bơ mè (tahini) mịn
usda_2262074,Bơ hạnh nhân mịn
usda_2262075,Hạt lanh xay
usda_2346384,Phô mai Cottage nguyên béo
usda_2346385,Phô mai kem (cream cheese) nguyên béo dạng khối
usda_2346386,Kem tươi béo (heavy cream)
usda_2346387,Kem chua nguyên béo
usda_2346388,Xà lách iceberg tươi
usda_2346389,Xà lách romaine xanh tươi
usda_2346390,Xà lách lá đỏ tươi
usda_2346391,Xà lách lá xanh tươi
usda_2346392,Hạt thông tươi
usda_2346393,Hạnh nhân nguyên hạt tươi (chưa rang)
usda_2346394,Óc chó bổ đôi tươi (chưa rang)
usda_2346395,Hạt pecan bổ đôi tươi (chưa rang)
usda_2346396,Yến mạch cán dẹt nguyên cám (kiểu truyền thống)
usda_2346397,Yến mạch cắt thép nguyên cám
usda_2346398,Dứa (thơm) tươi
usda_2346399,Anh đào đỏ sẫm tươi (loại ngọt)
usda_2346400,Đậu que xanh tươi
usda_2346401,Khoai tây russet (đã gọt vỏ) tươi
usda_2346402,Khoai tây đỏ (đã gọt vỏ) tươi
usda_2346403,Khoai tây vàng (đã gọt vỏ) tươi
usda_2346404,Khoai lang ruột cam (đã gọt vỏ) tươi
usda_2346405,Cần tây tươi
usda_2346406,Dưa leo (còn vỏ) tươi
usda_2346407,Bắp cải xanh tươi
usda_2346408,Bắp cải tím tươi
usda_2346409,Dâu tây tươi
usda_2346410,Mâm xôi đỏ tươi
usda_2346411,Việt quất tươi
usda_2346412,Nho đỏ không hạt tươi
usda_2346413,Nho xanh không hạt tươi
usda_2346414,Sốt táo nghiền không đường (bổ sung vitamin C)
usda_2512371,Bột rau dền (amaranth)
usda_2512372,Bột diêm mạch (quinoa)
usda_2512373,Bột lúa miến (sorghum)
usda_2512374,Bột kiều mạch (tam giác mạch)
usda_2512375,Bột lúa mạch đen
usda_2512376,Bột lúa mạch
usda_2512377,Bột sắn (khoai mì)
usda_2512378,Kiều mạch nguyên hạt (tam giác mạch)
usda_2512379,Kê nguyên hạt
usda_2512380,Gạo lứt hạt dài
usda_2512381,Gạo trắng hạt dài
usda_2514743,Thịt bò xay (90% nạc) tươi
usda_2514744,Thịt bò xay (80% nạc) tươi
usda_2514745,Thịt heo xay tươi
usda_2514746,Thịt gà xay (có phụ gia) tươi
usda_2514747,Thịt gà tây xay (93% nạc) tươi
usda_2515373,Hạt dẻ Brazil tươi (chưa rang)
usda_2515374,Hạt điều tươi (chưa rang)
usda_2515375,Hạt phỉ tươi (chưa rang)
usda_2515376,Đậu phộng tươi (chưa rang)
usda_2515377,Bột hạt dẻ
usda_2515378,Hạt mắc ca tươi (chưa rang)
usda_2515379,Hạt dẻ cười (pistachio) tươi (chưa rang)
usda_2515380,Hạt bí tươi (chưa rang)
usda_2515381,Nhân hạt hướng dương tươi (chưa rang)
usda_2515382,Bột dừa
usda_2644281,Đậu trắng cannellini khô
usda_2644282,Đậu gà khô
usda_2644283,Đậu lăng khô
usda_2644284,Đậu mắt đen khô
usda_2644285,Đậu đen đóng hộp (đã ráo rửa lại)
usda_2644286,Đậu trắng navy đóng hộp (đã ráo rửa lại)
usda_2644287,Đậu trắng cannellini đóng hộp (đã ráo rửa lại)
usda_2644288,Đậu gà đóng hộp (đã ráo rửa lại)
usda_2644289,Đậu tây đỏ đậm đóng hộp (đã ráo rửa lại)
usda_2644290,Đậu tây đỏ nhạt đóng hộp (đã ráo rửa lại)
usda_2644291,Đậu Hà Lan ngọt đóng hộp (đã ráo rửa lại)
usda_2644292,Đậu pinto đóng hộp (đã ráo rửa lại)
usda_2644293,Đậu mắt đen đóng hộp (đã ráo rửa lại)
usda_2644294,Đậu trắng Great Northern đóng hộp (đã ráo rửa lại)
usda_2646168,Thịt heo thăn không xương tươi
usda_2646169,Thịt heo thăn nội không xương tươi
usda_2646170,Ức gà không xương không da tươi
usda_2646171,Đùi gà không xương không da tươi
usda_2646172,Bò ribeye không xương tươi
usda_2646173,Bò đùi trên (top round) không xương tươi
usda_2646174,Bò vai (chuck) không xương tươi
usda_2646175,Bò nạm (flank) không xương tươi
usda_2647437,Sữa chua không đường không béo
usda_2647438,Phô mai Monterey Jack
usda_2647439,Phô mai Mỹ tiệt trùng lát rời (singles)
usda_2647440,Phô mai Provolone lát
usda_2647441,Phô mai Oaxaca
usda_2647442,Phô mai queso fresco
usda_2647443,Phô mai Cotija
usda_2684440,Cá hồi sockeye tự nhiên tươi
usda_2684441,Cá hồi Đại Tây Dương nuôi tươi
usda_2684442,Cá rô phi nuôi tươi
usda_2684443,Tôm nuôi tươi
usda_2684444,Cá tuyết Đại Tây Dương tự nhiên tươi
usda_2684445,Cá da trơn (catfish) nuôi tươi
usda_2684446,Thịt cua xanh tiệt trùng (để lạnh)
usda_2685568,Bí ngòi xanh (còn vỏ) tươi
usda_2685569,Bí mùa hè vàng (còn vỏ) tươi
usda_2685570,Bí butternut tươi
usda_2685571,Bí acorn tươi
usda_2685572,Cải thìa (bok choy) tươi
usda_2685573,Súp lơ trắng tươi
usda_2685574,Cải xoăn collard tươi
usda_2685575,Cải Brussels tươi
usda_2685576,Củ dền tươi
usda_2685577,Cà tím tươi
usda_2685578,Cà chua nguyên trái đóng hộp (có muối)
usda_2685579,Sốt cà chua đóng hộp (có muối)
usda_2685580,Cà chua cô đặc đóng hộp (không muối)
usda_2685581,Cà chua nghiền đóng hộp
usda_2685582,Cà chua xay nhuyễn đóng hộp
usda_2710815,Mơ (còn vỏ) tươi
usda_2710816,Dưa lê honeydew tươi
usda_2710817,Chuối lá (plantain) chín tươi
usda_2710818,Chuối lá (plantain) chưa chín hẳn
usda_2710819,Hạt chia khô
usda_2710820,Bulgur (lúa mì vỡ) khô
usda_2710821,Gạo hoang dã khô
usda_2710822,Rau arugula non tươi
usda_2710823,Măng tây xanh tươi
usda_2710824,Bơ Hass (đã gọt vỏ) tươi
usda_2710825,Gạo đen (gạo cẩm)
usda_2710826,Bắp ngọt hạt vàng và trắng tươi
usda_2710827,Lúa mì einkorn khô
usda_2710828,Farro xát vỏ khô
usda_2710829,Kê fonio khô
usda_2710830,Lúa mì Khorasan (Kamut) khô
usda_2710831,Kiwi xanh (đã gọt vỏ) tươi
usda_2710832,Quýt không hạt (đã bóc vỏ) tươi
usda_2710833,Xoài Tommy Atkins (đã gọt vỏ) tươi
usda_2710834,Xoài Ataulfo (đã gọt vỏ) tươi
usda_2710835,Bột bắp masa harina (trắng hoặc vàng)
usda_2710836,Lê Anjou xanh (còn vỏ) tươi
usda_2710837,Mận đen (còn vỏ) tươi
usda_2710838,Gạo đỏ khô
usda_2710839,Cám lúa miến trắng khô
usda_2710840,Bột lúa miến trắng xát vỏ khô
usda_2710841,Hạt lúa miến trắng xát vỏ khô
usda_2710842,Lúa miến trắng nguyên hạt khô
usda_2710843,Chuối lá (plantain) chín rục
usda_2727566,Đùi gà (thịt và da) tươi
usda_2727567,Đùi gà trên (thịt và da) tươi
usda_2727568,Cánh gà (thịt và da) tươi
usda_2727569,Ức gà (thịt và da) tươi
usda_2727570,Thịt cừu xay tươi
usda_2727571,Thịt bò rừng bison xay tươi
usda_2727572,Bò New York strip tươi
usda_2727573,Bò thăn nội (tenderloin) tươi
usda_2727574,Bò thăn ngoại (top sirloin) tươi
usda_2727575,Sườn heo cốt lết (center cut) tươi
usda_2727576,Thịt ba chỉ heo (còn da) tươi
usda_2727577,Pawpaw (đu đủ Mỹ) đã gọt vỏ bỏ hạt
usda_2727578,Bí đỏ làm bánh (đã gọt vỏ bỏ hạt) tươi
usda_2727579,Bí sợi mì (spaghetti squash) đã gọt vỏ bỏ hạt
usda_2727580,Củ cải Thụy Điển (rutabaga) đã gọt vỏ
usda_2727581,Mâm xôi đen tươi
usda_2727582,Cà chua tomatillo (đã lột vỏ lụa) tươi
usda_2727583,Cải thảo (napa) đã bỏ cọng
usda_2727584,Tỏi tây (leek) đã bỏ rễ
usda_2727585,Hành lá (đã bỏ rễ)
usda_2727586,Hành tím đã bóc vỏ bỏ rễ
usda_2727587,Nước ép mận khô (để được lâu)
usda_2727588,Nước ép lựu (từ cô đặc để được lâu)
usda_2727589,Nước ép anh đào chua (từ cô đặc để được lâu)
usda_2747652,Cá cơm đóng hộp trong dầu ô liu (có muối đã ráo dầu)
usda_2747653,Lá củ dền tươi
usda_2747654,Cá tuyết Thái Bình Dương/Alaska đông lạnh (tự nhiên)
usda_2747655,Củ thì là (fennel) tươi
usda_2747656,Cá bơn halibut đông lạnh (tự nhiên)
usda_2747657,Đuôi tôm hùm đông lạnh (tự nhiên)
usda_2747658,Cá mahi mahi đông lạnh (tự nhiên)
usda_2747659,Củ cải vàng (parsnip) tươi
usda_2747660,Ớt chuối (banana pepper) đã bỏ hạt
usda_2747661,Ớt jalapeño đã bỏ hạt
usda_2747662,Ớt poblano đã bỏ hạt
usda_2747663,Ớt serrano đã bỏ hạt
usda_2747664,Xà lách xoăn tím (radicchio) tươi
usda_2747665,Củ cải đỏ tươi
usda_2747666,Sò điệp vịnh Patagonia đông lạnh (tự nhiên)
usda_2747667,Sò điệp biển đông lạnh (tự nhiên)
usda_2747668,Cá chẽm Chile đông lạnh (tự nhiên)
usda_2747669,Cá hồng đông lạnh (tự nhiên)
usda_2747670,Càng cua tuyết đông lạnh
usda_2747671,Mực ống đông lạnh (phần thân)
usda_2747672,Cá kiếm đông lạnh (tự nhiên)
usda_2747673,Cá ngừ vây vàng đông lạnh (tự nhiên)
usda_2747674,Củ cải trắng tươi
usda_2747675,Dưa hấu không hạt (chỉ phần ruột) tươi
usda_2747676,Vỏ dưa hấu không hạt tươi
